pedro,henrique cazzarotti d,henrique cazzarotti de,0.976744186,TRUE
marcos,paulo de jesus freita,paulo de jesus freitas,0.976744186,TRUE
lenon,furtado cesarino da r,furtado cesarino da ro,0.976744186,TRUE
marcos,paulo de jesus freita,paulo de jesus freit,0.975609756,TRUE
william,w oliveira rodrigue,w oliveira rodrigues,0.974358974,TRUE
gabriel,l langhans de olivei,l langhans de olive,0.974358974,TRUE
vinicius,orzechowski franci,orzechowski francis,0.972972973,TRUE
guilherme,de magalhaes scalli,de magalhaes scall,0.972972973,TRUE
uy,michael jeffrey ta,michael jeffrey t,0.971428571,TRUE
padilla vargas,cristiamalejandro,cristiam alejandro,0.971428571,TRUE
lau,kiat chuan kennet,kiat chuan kenneth,0.971428571,TRUE
guilherme,francisco ferrare,francisco ferrarez,0.971428571,TRUE
wong,keen meng nichola,keen meng nichol,0.96969697,TRUE
wong,nicholas jonatha,nicholas jonathan,0.96969697,TRUE
vitor,de paiva siqueir,de paiva siqueira,0.96969697,TRUE
tong,king yim kingsto,king yim kingston,0.96969697,TRUE
lin,milton jian xiong,milton jianxiong,0.96969697,TRUE
khoo,teng soon francis,teng soon franci,0.96969697,TRUE
ho,wai keong kel;vin,wai keong kelvin,0.96969697,TRUE
conde gonzalez,franciso antonio,francisco antonio,0.96969697,TRUE
tong,king yim kingsto,king yim kingst,0.967741935,TRUE
tirol,patrick benjamin,patrick benjami,0.967741935,TRUE
orazi,davide christia,davide christian,0.967741935,TRUE
marlos,batista ferreir,batista ferreira,0.967741935,TRUE
goh,kenneth hanming,kenneth han ming,0.967741935,TRUE
eco,edencio quincy b,edecio quincy b,0.967741935,TRUE
eberlein,alexander gullov,alexandergullov,0.967741935,TRUE
chung,wai-sing (jimmy),wai-sing (jimmy,0.967741935,TRUE
cheaw,tommy chung sung,tommy chung sun,0.967741935,TRUE
chan,jeffrey guoming,jeffrey guo ming,0.967741935,TRUE
biron,pierre-alexandr,pierre-alexandre,0.967741935,TRUE
torres,carlos-ezequie,carlos-ezequiel,0.965517241,TRUE
soh,weixian kelvin,wei xian kelvin,0.965517241,TRUE
samson,louis-alexandre,louis-alexandr,0.965517241,TRUE
oca,ramon allan jr.,ramon allan jr,0.965517241,TRUE
nascimento,andre carlos b.,andre carlos b,0.965517241,TRUE
motta,pedro rodriguez,pedro rodrigue,0.965517241,TRUE
larsen,birger dubgaar,birger dubgaard,0.965517241,TRUE
jamir,joselito alber,joselito albert,0.965517241,TRUE
gomez,reinard luis mo,reinard luis m,0.965517241,TRUE
fong,yu mun clement,yun mun clement,0.965517241,TRUE
angelo,marcus vinicius,marcus viniciu,0.965517241,TRUE
albert,camille-olivie,camille-olivier,0.965517241,TRUE
vieira,eduardo dos s,eduardo dos sa,0.962962963,TRUE
vazquez,ricardo fabia,ricardo fabian,0.962962963,TRUE
tu,wei ming david,wei min david,0.962962963,TRUE
st-onge,jean-sebastien,jean-sebastie,0.962962963,TRUE
silaen,abrinto martin,abrintomartin,0.962962963,TRUE
santos,jose carlos a,jose carlos ab,0.962962963,TRUE
rouleau,pierre-olivier,pierre-olivie,0.962962963,TRUE
robert,pierre oliver,pierre olivier,0.962962963,TRUE
redlich,malte-christia,malte-christi,0.962962963,TRUE
profeta,francis rober,francis robert,0.962962963,TRUE
nogueira,ramonhenrique,ramon henrique,0.962962963,TRUE
mellado,pierre antoin,pierre antoine,0.962962963,TRUE
mate,adan angelo s,adan angelo sy,0.962962963,TRUE
lu,zhimeng ethan,zhi meng ethan,0.962962963,TRUE
jaccard,yann-guillaume,yann-guillaum,0.962962963,TRUE
hall,kenneth marti,kenneth martin,0.962962963,TRUE
go,lord jerickson,lord jericson,0.962962963,TRUE
freeman,ross christia,ross christian,0.962962963,TRUE
cormier,marc-alexandre,marc-alexandr,0.962962963,TRUE
casatti,vagner willia,vagner william,0.962962963,TRUE
alag,kristoffer rey,kristofer rey,0.962962963,TRUE
verdonck,jean-francois,jean-francoi,0.96,TRUE
telkamp,matthias paul,mathias paul,0.96,TRUE
tan,markyaocheng,mark yaocheng,0.96,TRUE
so,joel dong wen,joel dongwen,0.96,TRUE
schmidtke,tayfun-marcel,tayfun-marce,0.96,TRUE
renavand,jean-philipp,jean-philippe,0.96,TRUE
pilgaard,michael bonde,michael bond,0.96,TRUE
perez sandoval,carlos andres,carlos andre,0.96,TRUE
pangestu,bushh bonald,bushh bonaldy,0.96,TRUE
padilla chinas,jorge ernesto,jorge ernest,0.96,TRUE
padilla chinas,jorge ernesto,jorgeernesto,0.96,TRUE
oren,ask espensonn,ask espensnn,0.96,TRUE
oliveira,robsom falcao,robsom falca,0.96,TRUE
nielsen,jacob n?rholm,jacob nrholm,0.96,TRUE
nielsen,jacob norholm,jacob nrholm,0.96,TRUE
meurisse,pierre-jerome,pierre-jerom,0.96,TRUE
matteau,jeanphilippe,jean-philippe,0.96,TRUE
martin,luis eduardo,luis edouardo,0.96,TRUE
lehmann,david nicola,david nicolau,0.96,TRUE
kirkegaard,hack kampmann,hackkampmann,0.96,TRUE
jensen,lasse vinther,lasse vinter,0.96,TRUE
gurevych,william jame,william james,0.96,TRUE
groszler,stefan-daniel,stefan-danie,0.96,TRUE
gonzales,john benedict,john benedic,0.96,TRUE
figueroa,mauro agusti,mauro agustin,0.96,TRUE
evi,andreidragos,andrei dragos,0.96,TRUE
del real,jose fernando,jose fernand,0.96,TRUE
cornford,david stephe,david stephen,0.96,TRUE
chen,yung shiang n,ung shiang n,0.96,TRUE
casatti,vagner willi,vagner willia,0.96,TRUE
canonici,jean baptist,jean baptiste,0.96,TRUE
blazquez,marco antonio,marco antoni,0.96,TRUE
bernardi,andrea silvi,andrea silvio,0.96,TRUE
beaujean,marc philipp,marc philippe,0.96,TRUE
bachmann,oscar mathias,oscar mathia,0.96,TRUE
alvarez,paolo lorenzo,paololorenzo,0.96,TRUE
yu,hansgregory,hans gregory,0.956521739,TRUE
yamakawa,shin'ichirou,shin'ichiro,0.956521739,TRUE
vezzadini,massimiliano,massimilian,0.956521739,TRUE
tsushima,shin'ichirou,shinichirou,0.956521739,TRUE
trejo garcia,erik leonel,erick leonel,0.956521739,TRUE
tomita,shunichirou,shun'ichirou,0.956521739,TRUE
sparks,christorpher,christopher,0.956521739,TRUE
soares,francisco t,francisco t.,0.956521739,TRUE
simoncini,stefano fudo,stefano fud,0.956521739,TRUE
shiroza,shin'ichirou,shinichirou,0.956521739,TRUE
shiroza,shin'ichirou,shin'ichiro,0.956521739,TRUE
schmidtke,tayfun-marc,tayfun-marce,0.956521739,TRUE
salvin,jean charles,jeancharles,0.956521739,TRUE
rodriguez,miguel ange,miguel angel,0.956521739,TRUE
rodriguez,miguelangel,miguel angel,0.956521739,TRUE
rios ruiz,miguel toma,miguel tomas,0.956521739,TRUE
ranque,wielfried fr,wilfried fr,0.956521739,TRUE
ranque,wiolfried fr,wilfried fr,0.956521739,TRUE
ramos,jayson karlo,jayson karl,0.956521739,TRUE
poh,liangchoong,liang choong,0.956521739,TRUE
pannhorst,lothar - nil,lothar - ni,0.956521739,TRUE
padulazzi,massimiliano,massimilian,0.956521739,TRUE
nordholm,anders thoft,andersthoft,0.956521739,TRUE
nobuhisa,katsubayashi,katubayashi,0.956521739,TRUE
nam,kyoung geun,kkyoung geun,0.956521739,TRUE
martorell,miquel ange,miquel angel,0.956521739,TRUE
liu,zhuo ran liu,zhuo ranliu,0.956521739,TRUE
lenon,furtado cesarino da rosa,furtado cesarino da ro,0.956521739,TRUE
larsen,christoffert,christoffer,0.956521739,TRUE
larsen,martin thun,martin thun?,0.956521739,TRUE
kure,bjarke hvass,bjarke hvas,0.956521739,TRUE
kelly,john-paul k,john-paul k.,0.956521739,TRUE
karafotis,konstantino,konstantinos,0.956521739,TRUE
juillard,jean charles,jeancharles,0.956521739,TRUE
ishii,kuniyoshi s,kuniyoshi s.,0.956521739,TRUE
innholt,jan michael,jan michaels,0.956521739,TRUE
hwang,chi-chung c,chi-chung c.,0.956521739,TRUE
honigmann,joshua scot,joshua scott,0.956521739,TRUE
hernando,migue angel,miguel angel,0.956521739,TRUE
hernandes,marcos paulo,marcos paul,0.956521739,TRUE
gutierrez,juan antonio,juan antoni,0.956521739,TRUE
garcia rosas,josue daniel,jose daniel,0.956521739,TRUE
fradcourt,pierre-louis,pierre-loui,0.956521739,TRUE
feliciano,marc rainie,marc rainier,0.956521739,TRUE
emi,shin'ichirou,shinichirou,0.956521739,TRUE
deragon,marcantoine,marc-antoine,0.956521739,TRUE
dematties,michelangelo,michelangel,0.956521739,TRUE
cormier,jean-huguees,jean-hugues,0.956521739,TRUE
chin,jiann hua j,jiann hua j.,0.956521739,TRUE
camara,aristides s,aristides s.,0.956521739,TRUE
byrd,mark-antony,mark-anthony,0.956521739,TRUE
barboza,francisco b,francisco b.,0.956521739,TRUE
baldvinsson,einar august,einar agust,0.956521739,TRUE
azogue,christian a.,christian a,0.956521739,TRUE
avila gutierrez,marlon jacob,marlon jaco,0.956521739,TRUE
arntz,estevao rudi,estevaorudi,0.956521739,TRUE
argumosa,miguel ange,miguel angel,0.956521739,TRUE
arauz,joelenrique,joel enrique,0.956521739,TRUE
andersen,yvind wefal,oyvind wefal,0.956521739,TRUE
zoetmulder,jelle-thij,jelle-thijs,0.952380952,TRUE
yu,chenghsien,cheng hsien,0.952380952,TRUE
yang,chiahsiang,chia hsiang,0.952380952,TRUE
yanagi,shinichirou,shinichiro,0.952380952,TRUE
yamakawa,shin'ichiro,shinichiro,0.952380952,TRUE
westerlund,christophe,christopher,0.952380952,TRUE
wang,chenghsiao,cheng-hsiao,0.952380952,TRUE
vernikos,constantin,constantine,0.952380952,TRUE
vaugeois,christopher,christophe,0.952380952,TRUE
thidemann,anders klau,anders kla,0.952380952,TRUE
tassone,maximilian,maximillian,0.952380952,TRUE
tan,kevinclark,kevin clark,0.952380952,TRUE
takeda,shin'nosuke,shinnosuke,0.952380952,TRUE
tachibana,shin ichiro,shinichiro,0.952380952,TRUE
tachibana,shin'ichiro,shinichiro,0.952380952,TRUE
sveinsson,hjalti rafn,hjaltirafn,0.952380952,TRUE
sonne,jonathan e.,jonathan e,0.952380952,TRUE
soave,fernando m.,fernando m,0.952380952,TRUE
